dni,nia,id_modul,nota
80329882J,38320170,0485,8.00
75179149S,69452465,0379,8.00
14713060Y,67334545,0487,8.00
75179149S,69452465,0380,8.00
16797542K,54609382,0486,8.00
62934115C,55016215,0372,8.00
76019131Z,53017099,0225,8.00
67243552Q,89302040,0381,8.00
67243552Q,89302040,CV0003,8.00
65516639N,62230816,0228,8.00
01727468F,65113807,0484,8.00
46804008C,90273988,0493,8.00
73474372K,90632096,0370,8.00
92147421Z,33618341,CV0003,8.00
73474372K,90632096,0380,8.00
14713060Y,67334545,0612,8.00
97558217Z,91202976,0221,8.00
97558217Z,91202976,0223,8.00
59629449V,92121595,0493,8.00
92147421Z,33618341,0493,8.00
11954200L,93340135,0484,8.00
22681459D,93549324,0373,8.00
30251326R,56474053,0228,8.00
06875813D,93753171,0370,8.00
06875813D,93753171,0372,8.00
06875813D,93753171,0373,8.00
67220324H,42661875,0373,8.00
92147421Z,33618341,0373,8.00
67220324H,42661875,0483,8.00
06875813D,93753171,0381,8.00
06875813D,93753171,CV0004,8.00
72516801D,93990565,0221,8.00
72516801D,93990565,0224,8.00
53797197J,56480472,0487,8.00
49958504C,63351740,0221,8.00
72516801D,93990565,0229,8.00
72516801D,93990565,0230,8.00
72516801D,93990565,0231,8.00
72516801D,93990565,CV0001,8.00
67220324H,42661875,0485,8.00
25933750P,95198870,0485,8.00
53797197J,56480472,0488,8.00
92331569R,95542592,0225,8.00
67220324H,42661875,0493,8.00
92331569R,95542592,0229,8.00
92331569R,95542592,0230,8.00
92331569R,95542592,0231,8.00
92331569R,95542592,CV0001,8.00
92331569R,95542592,CV0002,8.00
17160575E,95567868,0373,8.00
17160575E,95567868,0483,8.00
17160575E,95567868,0484,8.00
17160575E,95567868,0485,8.00
17160575E,95567868,0614,8.00
17160575E,95567868,0616,8.00
17160575E,95567868,0618,8.00
07382694Q,95768369,0369,8.00
67220324H,42661875,CV0003,8.00
75179149S,69452465,CV0004,8.00
35889533B,52798440,CV0004,8.00
91929968A,69826104,0373,8.00
23623459K,95838816,0486,8.00
95410270Z,33055389,CV0002,8.00
61463873F,54029642,CV0003,8.00
95410270Z,33055389,0229,8.00
23623459K,95838816,0492,8.00
61463873F,54029642,CV0004,8.00
95410270Z,33055389,0223,8.00
54031648W,97019104,0222,8.00
16797542K,54609382,0373,8.00
68470233S,97428687,0223,8.00
68470233S,97428687,0225,8.00
68470233S,97428687,0226,8.00
68470233S,97428687,0227,8.00
68470233S,97428687,0228,8.00
91929968A,69826104,CV0003,8.00
14713060Y,67334545,0613,8.00
29866095C,39062734,0484,8.00
38506192Y,71043550,0493,8.00
74978264N,98030593,CV0001,8.00
35889533B,52798440,0495,8.00
67043420F,98337501,0483,8.00
67043420F,98337501,0487,8.00
67043420F,98337501,CV0003,8.00
94310708J,98683565,CV0001,8.00
94759150R,54411276,0487,8.00
91607960H,98977554,0229,8.00
54076092X,99729826,0373,8.00
54076092X,99729826,0485,8.00
01780605Z,67028663,0617,8.00
26265489H,99769575,0483,8.00
26265489H,99769575,0484,8.00
82645960Z,32967944,0488,8.00
12207200L,72293901,0373,8.00
26265489H,99769575,0617,8.00
85618548J,76739576,0372,8.00
60041427L,81551216,0484,7.00
25201520Y,36780105,0382,7.00
27251411E,54568035,CV0003,7.00
86191443R,14724793,0377,7.00
84321270G,48633790,0488,7.00
79246188X,79908211,0618,7.00
78885786H,52247349,0373,7.00
86191443R,14724793,CV0004,7.00
21484947A,14924329,0617,7.00
12010031Y,67988417,0487,7.00
03498235G,15920428,0491,7.00
03498235G,15920428,0495,7.00
31194708S,16611638,0225,7.00
79246188X,79908211,0613,7.00
37633101H,17408378,0221,7.00
37633101H,17408378,0222,7.00
14069658Y,65399440,CV0001,7.00
97106044K,77358597,0229,7.00
66060496B,77189277,0495,7.00
12010031Y,67988417,0616,7.00
39649208Z,17662352,0487,7.00
39689963J,65326822,0488,7.00
39689963J,65326822,0486,7.00
34385521S,48753021,0491,7.00
04815097R,56825002,0487,7.00
04815097R,56825002,0484,7.00
39649208Z,17662352,0617,7.00
22007781R,18002434,0373,7.00
22007781R,18002434,0483,7.00
54454160G,56628159,0381,7.00
74558162M,18566589,0617,7.00
66060496B,77189277,0492,7.00
66060496B,77189277,0490,7.00
95950835X,50089989,0372,7.00
54454160G,56628159,0376,7.00
39689963J,65326822,0483,7.00
16797542K,54609382,0490,7.00
78885786H,52247349,0615,7.00
54454160G,56628159,0370,7.00
94495852F,19286411,0373,7.00
94495852F,19286411,0484,7.00
53797197J,56480472,CV0003,7.00
66060496B,77189277,0488,7.00
53797197J,56480472,0494,7.00
61463873F,54029642,0492,7.00
79498463K,51163005,0222,7.00
79498463K,51163005,0223,7.00
79498463K,51163005,0225,7.00
66060496B,77189277,0484,7.00
79498463K,51163005,CV0001,7.00
14713060Y,67334545,0373,7.00
66060496B,77189277,0483,7.00
15794096L,40723250,0225,7.00
